2025-04-07 15:04:47,822 - [Train Epoch 4] MTM=0.2052, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-07 15:22:19,443 - [Val Epoch 4] MTM=0.0890, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-07 17:58:09,040 - [Train Epoch 5] MTM=0.1909, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-07 18:15:36,361 - [Val Epoch 5] MTM=0.0877, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-07 20:51:14,689 - [Train Epoch 6] MTM=0.1833, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-07 21:08:40,175 - [Val Epoch 6] MTM=0.0838, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-07 23:44:31,281 - [Train Epoch 7] MTM=0.1739, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 00:02:00,766 - [Val Epoch 7] MTM=0.0840, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 02:37:03,861 - [Train Epoch 8] MTM=0.1673, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 02:54:28,007 - [Val Epoch 8] MTM=0.0807, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 05:31:01,956 - [Train Epoch 9] MTM=0.1623, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 05:49:49,677 - [Val Epoch 9] MTM=0.0795, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 08:27:00,518 - [Train Epoch 10] MTM=0.1581, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 08:44:43,431 - [Val Epoch 10] MTM=0.0790, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 11:21:43,105 - [Train Epoch 11] MTM=0.1544, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 11:40:03,689 - [Val Epoch 11] MTM=0.0759, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 14:17:37,420 - [Train Epoch 12] MTM=0.1510, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 14:36:32,002 - [Val Epoch 12] MTM=0.0740, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 17:12:51,542 - [Train Epoch 13] MTM=0.1489, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 17:31:57,129 - [Val Epoch 13] MTM=0.0750, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 20:08:35,496 - [Train Epoch 14] MTM=0.1467, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 20:27:26,595 - [Val Epoch 14] MTM=0.0763, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-08 23:03:16,982 - [Train Epoch 15] MTM=0.1448, T2T=0.0000, T2N=0.0000, N2N=0.0000
